id,tested_positive
0,32.456207
1,5.742903
2,25.037273
3,26.66577
4,40.058075
5,6.901118
6,8.137294
7,20.205324
8,10.426204
9,10.206296
10,15.883901
11,15.274987
12,26.88057
13,8.825942
14,16.066435
15,23.50025
16,39.33319
17,13.3429575
18,31.628042
19,14.372752
20,24.187563
21,20.524258
22,9.372473
23,17.026293
24,16.196184
25,10.088361
26,17.336159
27,18.208715
28,5.5668902
29,31.751814
30,5.9195046
31,33.657856
32,31.537851
33,21.143156
34,12.593711
35,35.72091
36,15.123975
37,13.715482
38,31.417955
39,19.084154
40,6.806036
41,28.790075
42,18.65248
43,18.33616
44,11.886828
45,7.463234
46,9.76632
47,14.36962
48,15.900016
49,5.10302
50,15.308775
51,21.61905
52,12.0686655
53,6.9183993
54,35.620705
55,16.326965
56,19.002306
57,9.72334
58,18.535442
59,14.270417
60,11.68588
61,19.179205
62,19.99053
63,19.198801
64,32.30239
65,14.866283
66,27.060808
67,9.862286
68,33.334335
69,22.797178
70,9.010031
71,23.56337
72,10.991097
73,12.338383
74,24.003832
75,7.6404386
76,6.4638824
77,12.779355
78,4.1409364
79,16.21826
80,21.202827
81,10.564659
82,40.47988
83,6.7820354
84,23.37224
85,16.90862
86,6.994531
87,37.008514
88,14.871238
89,19.101336
90,19.109734
91,9.254624
92,45.584
93,37.236862
94,11.477269
95,12.143008
96,34.353573
97,5.265695
98,4.7986283
99,13.805617
100,12.530757
101,25.384054
102,17.03114
103,6.9728427
104,26.484581
105,14.170957
106,24.8888
107,13.816231
108,6.4856586
109,15.649196
110,16.463009
111,17.373512
112,19.80767
113,10.48209
114,28.717932
115,11.957688
116,7.7818685
117,10.518374
118,7.6872487
119,12.490241
120,16.589914
121,7.865743
122,6.637408
123,7.1348157
124,7.8288193
125,11.806536
126,7.2273583
127,6.361964
128,39.397537
129,9.475892
130,26.092592
131,13.099629
132,23.184954
133,13.834301
134,23.958344
135,9.49364
136,26.18905
137,7.3080163
138,9.891161
139,18.702677
140,12.690117
141,11.0796585
142,12.470477
143,28.19478
144,17.804934
145,7.9671545
146,8.790361
147,11.047602
148,7.98079
149,11.919842
150,16.058655
151,14.111644
152,22.807447
153,14.511945
154,30.972757
155,8.859004
156,9.998334
157,6.8246984
158,8.336194
159,16.140345
160,8.268923
161,25.880157
162,5.702416
163,11.967105
164,38.85217
165,10.119877
166,11.652758
167,21.776527
168,17.063314
169,6.2858205
170,17.122068
171,21.11594
172,20.968454
173,15.788539
174,37.44899
175,21.777494
176,14.146161
177,12.412119
178,17.494755
179,20.662027
180,8.94765
181,9.117914
182,18.71799
183,10.400752
184,23.99862
185,5.315688
186,17.876976
187,21.31793
188,8.946806
189,34.836872
190,17.41975
191,10.496246
192,32.66809
193,20.290588
194,30.9417
195,7.779886
196,33.65833
197,15.337018
198,8.738318
199,8.901779
200,9.052854
201,6.739236
202,39.6733
203,8.498877
204,18.431776
205,25.581867
206,11.92074
207,14.767266
208,7.672402
209,9.460706
210,31.87395
211,8.819807
212,6.9200044
213,28.126211
214,14.528333
215,9.978954
216,14.7633295
217,11.912707
218,18.59273
219,15.696744
220,27.775002
221,20.526033
222,20.244818
223,10.326052
224,7.793638
225,31.066927
226,6.386739
227,12.014873
228,31.541157
229,16.165892
230,9.709735
231,32.143936
232,17.837805
233,14.26922
234,12.620012
235,11.992801
236,9.27359
237,16.456316
238,9.069208
239,14.909217
240,11.492704
241,19.091143
242,16.056602
243,11.950657
244,39.93004
245,17.399284
246,10.474051
247,13.795243
248,9.06747
249,14.456561
250,28.997202
251,17.173113
252,19.281477
253,9.4234915
254,12.983202
255,14.744309
256,17.18081
257,23.11419
